"","Year","SIMD.2012.2016.Quintile","Gender","Age.group","Scottish.applicants","Accepted.Scottish.applicants"
"549",2008,"Unknown","Men","35 and over",25,20
"551",2008,"Unknown","Women","17 and under",15,10
"553",2008,"Unknown","Women","18",205,160
"555",2008,"Unknown","Women","19",60,45
"557",2008,"Unknown","Women","20",35,30
"559",2008,"Unknown","Women","21-24",95,70
"561",2008,"Unknown","Women","25-29",60,40
"563",2008,"Unknown","Women","30-34",20,10
"565",2008,"Unknown","Women","35 and over",20,15
"567",2009,"Quintile 1","Men","17 and under",40,30
"569",2009,"Quintile 1","Men","18",595,450
"571",2009,"Quintile 1","Men","19",175,125
"573",2009,"Quintile 1","Men","20",175,140
"575",2009,"Quintile 1","Men","21-24",455,335
"577",2009,"Quintile 1","Men","25-29",240,175
"579",2009,"Quintile 1","Men","30-34",160,110
"581",2009,"Quintile 1","Men","35 and over",175,115
"583",2009,"Quintile 1","Women","17 and under",55,35
"585",2009,"Quintile 1","Women","18",870,620
"587",2009,"Quintile 1","Women","19",275,200
"589",2009,"Quintile 1","Women","20",275,190
"591",2009,"Quintile 1","Women","21-24",545,360
"593",2009,"Quintile 1","Women","25-29",325,215
"595",2009,"Quintile 1","Women","30-34",180,115
"597",2009,"Quintile 1","Women","35 and over",220,140
"599",2009,"Quintile 2","Men","17 and under",55,35
"601",2009,"Quintile 2","Men","18",940,760
"603",2009,"Quintile 2","Men","19",270,220
"605",2009,"Quintile 2","Men","20",195,160
"607",2009,"Quintile 2","Men","21-24",480,355
"609",2009,"Quintile 2","Men","25-29",290,225
"611",2009,"Quintile 2","Men","30-34",115,80
"613",2009,"Quintile 2","Men","35 and over",125,85
"615",2009,"Quintile 2","Women","17 and under",85,45
"617",2009,"Quintile 2","Women","18",1355,1010
"619",2009,"Quintile 2","Women","19",350,250
"621",2009,"Quintile 2","Women","20",235,190
"623",2009,"Quintile 2","Women","21-24",565,370
"625",2009,"Quintile 2","Women","25-29",300,215
"627",2009,"Quintile 2","Women","30-34",140,95
"629",2009,"Quintile 2","Women","35 and over",220,155
"631",2009,"Quintile 3","Men","17 and under",95,60
"633",2009,"Quintile 3","Men","18",1480,1185
"635",2009,"Quintile 3","Men","19",370,290
"637",2009,"Quintile 3","Men","20",280,215
"639",2009,"Quintile 3","Men","21-24",485,355
"641",2009,"Quintile 3","Men","25-29",265,180
"643",2009,"Quintile 3","Men","30-34",105,70
"645",2009,"Quintile 3","Men","35 and over",100,65
"647",2009,"Quintile 3","Women","17 and under",155,90
"649",2009,"Quintile 3","Women","18",1865,1430
"651",2009,"Quintile 3","Women","19",480,360
"653",2009,"Quintile 3","Women","20",315,230
"655",2009,"Quintile 3","Women","21-24",555,400
"657",2009,"Quintile 3","Women","25-29",285,180
"659",2009,"Quintile 3","Women","30-34",150,95
"661",2009,"Quintile 3","Women","35 and over",220,150
"663",2009,"Quintile 4","Men","17 and under",130,80
"665",2009,"Quintile 4","Men","18",2040,1705
"667",2009,"Quintile 4","Men","19",600,495
"669",2009,"Quintile 4","Men","20",295,225
"671",2009,"Quintile 4","Men","21-24",525,390
"673",2009,"Quintile 4","Men","25-29",225,150
"675",2009,"Quintile 4","Men","30-34",70,55
"677",2009,"Quintile 4","Men","35 and over",110,80
"679",2009,"Quintile 4","Women","17 and under",160,95
"681",2009,"Quintile 4","Women","18",2540,2060
"683",2009,"Quintile 4","Women","19",650,490
"685",2009,"Quintile 4","Women","20",440,320
"687",2009,"Quintile 4","Women","21-24",530,355
"689",2009,"Quintile 4","Women","25-29",210,135
"691",2009,"Quintile 4","Women","30-34",110,70
"693",2009,"Quintile 4","Women","35 and over",225,155
"695",2009,"Quintile 5","Men","17 and under",150,95
"697",2009,"Quintile 5","Men","18",3025,2585
"699",2009,"Quintile 5","Men","19",740,600
"701",2009,"Quintile 5","Men","20",380,300
"703",2009,"Quintile 5","Men","21-24",715,550
"705",2009,"Quintile 5","Men","25-29",275,195
"707",2009,"Quintile 5","Men","30-34",75,60
"709",2009,"Quintile 5","Men","35 and over",115,80
"711",2009,"Quintile 5","Women","17 and under",220,145
"713",2009,"Quintile 5","Women","18",3390,2875
"715",2009,"Quintile 5","Women","19",810,625
"717",2009,"Quintile 5","Women","20",385,300
"719",2009,"Quintile 5","Women","21-24",620,445
"721",2009,"Quintile 5","Women","25-29",220,150
"723",2009,"Quintile 5","Women","30-34",85,55
"725",2009,"Quintile 5","Women","35 and over",225,165
"727",2009,"Unknown","Men","17 and under",85,85
"729",2009,"Unknown","Men","18",225,215
"731",2009,"Unknown","Men","19",155,150
"733",2009,"Unknown","Men","20",85,80
"735",2009,"Unknown","Men","21-24",155,145
"737",2009,"Unknown","Men","25-29",115,110
"739",2009,"Unknown","Men","30-34",55,55
"741",2009,"Unknown","Men","35 and over",110,105
"743",2009,"Unknown","Women","17 and under",65,65
"745",2009,"Unknown","Women","18",180,165
"747",2009,"Unknown","Women","19",140,135
"749",2009,"Unknown","Women","20",85,80
"751",2009,"Unknown","Women","21-24",190,175
"753",2009,"Unknown","Women","25-29",145,140
"755",2009,"Unknown","Women","30-34",80,75
"757",2009,"Unknown","Women","35 and over",210,205
"759",2010,"Quintile 1","Men","17 and under",40,20
"761",2010,"Quintile 1","Men","18",645,435
"763",2010,"Quintile 1","Men","19",210,130
"765",2010,"Quintile 1","Men","20",230,145
"767",2010,"Quintile 1","Men","21-24",500,340
"769",2010,"Quintile 1","Men","25-29",310,205
"771",2010,"Quintile 1","Men","30-34",190,120
"773",2010,"Quintile 1","Men","35 and over",260,165
"775",2010,"Quintile 1","Women","17 and under",60,30
"777",2010,"Quintile 1","Women","18",1085,715
"779",2010,"Quintile 1","Women","19",390,250
"781",2010,"Quintile 1","Women","20",320,215
"783",2010,"Quintile 1","Women","21-24",850,495
"785",2010,"Quintile 1","Women","25-29",565,320
"787",2010,"Quintile 1","Women","30-34",320,180
"789",2010,"Quintile 1","Women","35 and over",435,250
"791",2010,"Quintile 2","Men","17 and under",55,30
"793",2010,"Quintile 2","Men","18",1130,825
"795",2010,"Quintile 2","Men","19",330,220
"797",2010,"Quintile 2","Men","20",250,170
"799",2010,"Quintile 2","Men","21-24",510,325
"801",2010,"Quintile 2","Men","25-29",335,215
"803",2010,"Quintile 2","Men","30-34",145,95
